number,name,geo
59,Lonsdale Hotel,POINT (-0.1240489 51.5202064)
60,The Lancaster,POINT (-0.1237817 51.5199748)
61,,POINT (-0.1553928 51.5095221)
62,Grosvenor House Hotel Ballroom,POINT (-0.1548412 51.5092746)
63,Kadimah,POINT (-0.0706834 51.57297)
64,Cloudesley House,POINT (-0.0963959 51.5700523)
65,Redland Hotel,POINT (-0.0964787 51.569996)
66,Kent Hall,POINT (-0.0966468 51.5698537)
67,Lanark Hotel,POINT (-0.1004792 51.5669539)
68,London Marriott Hotel County Hall,POINT (-0.1188586 51.501709)
69,The Pack & Carriage London,POINT (-0.1355999 51.5319633)
70,Station Hotel,POINT (-0.1413006 51.4950123)
71,Hilton London Green Park,POINT (-0.1456241 51.5064449)
72,London City Hotel,POINT (-0.0936329 51.5011089)
73,York & Albany,POINT (-0.1464514 51.5360898)
74,Lancaster Lodge,POINT (-0.4714028 51.5344478)
75,Premier Inn London Victoria,POINT (-0.143082 51.492934)
76,Radisson Edwardian,POINT (-0.127063 51.514283)
77,Seven Dials Hotel,POINT (-0.126725 51.51481)
78,,POINT (-0.1316203 51.5122453)
79,The Rose Hotel,POINT (-0.0749772 51.5535291)
80,The Beauchamp,POINT (-0.1248357 51.5203735)
81,The Buckingham,POINT (-0.1239586 51.5196094)
82,The Portland,POINT (-0.1241296 51.5202734)
83,The Portland,POINT (-0.124404 51.5200069)
84,The Penn Club,POINT (-0.1250999 51.5206073)
85,Premier Inn,POINT (-0.0791295 51.4995182)
86,Lime Tree Hotel,POINT (-0.1499873 51.4933492)
87,Cherry Court Hotel,POINT (-0.1451133 51.4924816)
88,,POINT (-0.1375547 51.5238697)
89,Holtwhites Hotel,POINT (-0.0878588 51.6596512)
90,Euro Lodge Clapham,POINT (-0.1454482 51.4546813)
91,Travelodge,POINT (-0.3878939 51.4883729)
92,Think London Bridge,POINT (-0.0837471 51.4986958)
93,Blooms Town House Hotel,POINT (-0.126145 51.520142)
94,Hyatt Place London Heathrow Airport,POINT (-0.4682172 51.4819009)
95,,POINT (-0.1728717 51.5443508)
96,Comfort Inn Kings Cross,POINT (-0.1212142 51.5300637)
97,Holiday Inn Express,POINT (-0.102055 51.506096)
98,Paul O'Gorman Patient Hotel,POINT (-0.1211741 51.5214487)
99,Greenville Hotel,POINT (-0.1163797 51.5241502)
100,Guildford,POINT (-0.1165432 51.5241154)
101,Henrietta Hotel,POINT (-0.1236698 51.5109508)
102,Corner House Hotel,POINT (-0.1305348 51.5480801)
103,The Clarendon,POINT (-0.1242027 51.5198344)
104,Ambassadors Bloomsbury,POINT (-0.1297246 51.5266227)
105,,POINT (-0.1189227 51.4945647)
106,Travelodge London Whetstone,POINT (-0.1756612 51.6351333)
107,,POINT (-0.1149565 51.5291529)
108,The Windmill,POINT (-0.1442608 51.4577709)
109,Swinton Hotel,POINT (-0.1167506 51.5292897)
110,Arriva Hotel,POINT (-0.1183234 51.5287473)
111,,POINT (-0.1048222 51.5358335)
112,MyHotel,POINT (-0.1318793 51.5188919)
113,,POINT (-0.4411196 51.459016)
114,Cotton Rooms,POINT (-0.1363208 51.5230574)
115,,POINT (0.0209782 51.5829203)
116,,POINT (-0.4910574 51.4733895)
117,,POINT (-0.0024447 51.5373817)
118,,POINT (-0.1361922 51.4944964)
119,,POINT (-0.1364609 51.494136)
120,Russell Hotel,POINT (-0.1419175 51.495687)
121,Macdonald Hotel,POINT (-0.1229874 51.5290348)
122,Euro Hotel Clapham,POINT (-0.1446562 51.4553637)
123,Heathrow Lodge,POINT (-0.4916423 51.4800323)
124,,POINT (0.0392387 51.5083505)
125,,POINT (-0.1300896 51.5265156)
126,,POINT (-0.1511085 51.516656)
127,Point.O,POINT (-0.1125451 51.4991079)
128,,POINT (-0.0038425 51.5367926)
129,,POINT (-0.0047115 51.5365155)
130,California Hotel,POINT (-0.123438 51.5295045)
131,,POINT (-0.1313196 51.5279482)
132,,POINT (-0.1355105 51.5157773)
133,Ashling Tara Hotel,POINT (-0.192105 51.3777941)
134,,POINT (-0.1830049 51.5117025)
135,,POINT (-0.1296464 51.51352)
136,Travelodge,POINT (-0.2807418 51.3805078)
137,London Chigwell Prince Regent Hotel,POINT (0.0585945 51.6062041)
138,,POINT (-0.0796434 51.5273261)
139,,POINT (-0.0976403 51.3762607)
140,,POINT (-0.0828899 51.5266917)
141,,POINT (-0.122888 51.624997)
142,Anchor House Hotel,POINT (-0.1934461 51.5705737)
143,easyHotel Old Street / Barbican,POINT (-0.0946693 51.5243296)
144,The Manor Hotel & Restaurant,POINT (0.225658 51.5276204)
145,Premier Inn,POINT (-0.1302533 51.5110711)
146,,POINT (-0.4461045 51.48057)
147,,POINT (-0.4456767 51.4799778)
148,,POINT (-0.4813288 51.4832818)
149,Ibis London Excel Docklands,POINT (0.0226558 51.5079002)
150,Novotel London ExCeL,POINT (0.023296 51.5078956)
151,,POINT (-0.0969942 51.3748662)
152,,POINT (-0.1561605 51.513828)
153,Chiswick Lodge Hotel,POINT (-0.2551069 51.4949376)
154,,POINT (-0.1751753 51.5118294)
155,,POINT (-0.1573143 51.515042)
156,,POINT (-0.1570251 51.5150834)
157,,POINT (-0.157413 51.5151664)
158,,POINT (-0.1568256 51.5152194)
159,,POINT (-0.1569416 51.5154817)
160,,POINT (-0.1576209 51.5156345)
161,,POINT (-0.1579804 51.5153007)
162,Corus Hyde Park,POINT (-0.1773046 51.5115797)
163,Accomodation London Bridge,POINT (-0.0902618 51.4971533)
164,,POINT (-0.1478229 51.504801)
165,,POINT (-0.1473869 51.5046298)
166,,POINT (-0.1476421 51.5046529)
167,,POINT (-0.1467705 51.5049332)
168,,POINT (-0.1472543 51.5046784)
169,Premier Inn,POINT (-0.087469 51.5274248)
170,Blue Boar,POINT (-0.1320106 51.4994554)
171,,POINT (-0.0023354 51.5374595)
172,Colliers H?tel,POINT (-0.1434489 51.4912877)
173,,POINT (-0.1475762 51.5052084)
174,,POINT (0.0046755 51.5422887)
175,,POINT (0.0045358 51.5422664)
176,,POINT (-0.1825284 51.5192133)
177,,POINT (-0.1716473 51.5161518)
178,Belgrave House Hotel,POINT (-0.1422738 51.4920965)
179,,POINT (-0.3177347 51.5818187)
180,Silver Jubilee Crystal Crown,POINT (-0.0726513 51.5070283)
181,,POINT (-0.0726376 51.507026)
182,Holiday Inn London West,POINT (-0.2629326 51.5209443)
183,Marble Arch,POINT (-0.1583937 51.5135654)
184,,POINT (-0.1151751 51.3578125)
185,Alhambra Hotel,POINT (-0.1236512 51.5293177)
186,Central Hotel,POINT (-0.1239919 51.5292186)
187,Alhambra Hotel,POINT (-0.1239302 51.5291592)
188,Hollingbury Hotel,POINT (-0.2538187 51.5406779)
189,,POINT (-0.1517367 51.5064945)
190,,POINT (-0.1516737 51.5065039)
191,Somerset Hotel,POINT (-0.1601543 51.5232302)
192,Clink78,POINT (-0.1155876 51.5288183)
193,Camden Lock Hotel,POINT (-0.1522426 51.544108)
194,Arbor City Hotel,POINT (-0.0698184 51.5165158)
195,The Lane Suite,POINT (-0.0700304 51.5168277)
196,Royal Horseguards Hotel,POINT (-0.1242345 51.5057937)
197,Hampton by Hilton London Waterloo,POINT (-0.1080219 51.5008736)
198,,POINT (-0.2192317 51.5044881)
199,Shangri-La Hotel,POINT (-0.086648 51.5042952)
200,,POINT (-0.1943157 51.4896848)
201,The Park Hotel,POINT (-0.1389159 51.4905332)
202,,POINT (-0.1378022 51.5242131)
203,,POINT (-0.13785 51.5242795)
204,DoubleTree by Hilton Hotel London - Chelsea,POINT (-0.1840077 51.4741227)
205,,POINT (-0.1361782 51.5093839)
206,Kx Rooms,POINT (-0.1228238 51.5289201)
207,,POINT (-0.1359355 51.5100158)
208,Travelodge London Woolwich,POINT (0.0630677 51.4923324)
209,,POINT (-0.4542233 51.4951029)
210,,POINT (-0.1603095 51.501991)
211,,POINT (-0.1602376 51.5020023)
212,,POINT (-0.1600544 51.5024307)
213,,POINT (-0.3340032 51.4255091)
214,,POINT (-0.0830359 51.4151849)
215,,POINT (-0.1604707 51.5024021)
216,,POINT (-0.1590887 51.5016397)
217,,POINT (-0.158633 51.5016801)
218,,POINT (-0.1599102 51.5020494)
219,,POINT (-0.1598715 51.5020568)
220,,POINT (-0.1595851 51.5021117)
221,London Hotel,POINT (-0.1130331 51.4615782)
222,Novotel London Wembley,POINT (-0.2790191 51.5611124)
223,Sanctum Soho Hotel,POINT (-0.138332 51.511565)
224,New Globe Hotel,POINT (-0.0368949 51.5245354)
225,,POINT (-0.1496165 51.5045464)
226,,POINT (-0.1504716 51.5054498)
227,Artist Residence,POINT (-0.1448993 51.490553)
228,The Blair Victoria & Tudor Inn Hotel,POINT (-0.1422041 51.4914334)
229,The Melville Hotel,POINT (-0.1227249 51.5288076)
230,Keystone Hostel,POINT (-0.1208545 51.5309951)
231,Ellis Bringham Mountain Sports,POINT (-0.0064042 51.5426645)
232,Harrow Hotel,POINT (-0.3428417 51.5811585)
233,united lodge hotel,POINT (-0.0977657 51.574334)
234,,POINT (-0.1626703 51.5014239)
235,,POINT (-0.1628777 51.5015644)
236,Citadines,POINT (-0.1185245 51.5178529)
237,,POINT (-0.1184781 51.5175973)
238,Premier Inn St Pancras,POINT (-0.1268228 51.528606)
239,,POINT (-0.1470322 51.5067409)
240,,POINT (-0.147211 51.5077338)
241,,POINT (-0.1471399 51.5077702)
242,,POINT (-0.1470483 51.5078171)
243,,POINT (-0.1495304 51.5102001)
244,,POINT (-0.0673833 51.5160777)
245,,POINT (-0.0677126 51.5161407)
246,mk Hotel London,POINT (-0.21349 51.4642989)
247,,POINT (-0.178224 51.5142423)
248,,POINT (-0.174796 51.5161248)
249,,POINT (-0.1747141 51.5161689)
250,,POINT (-0.1430541 51.5195093)
251,Goodenough Club,POINT (-0.117697 51.525359)
252,Helen's Hotel,POINT (-0.255968 51.540725)
253,,POINT (-0.1270987 51.5138975)
254,,POINT (-0.149693 51.5180869)
255,,POINT (-0.1576434 51.5136486)
256,,POINT (-0.1574716 51.5136681)
257,,POINT (-0.1572795 51.5136898)
258,,POINT (-0.1571301 51.5137068)
259,,POINT (-0.1570416 51.5137168)
260,,POINT (-0.1569308 51.513728)
261,,POINT (-0.1568277 51.5137395)
262,,POINT (-0.1567664 51.5137485)
263,,POINT (-0.1567031 51.5137552)
264,,POINT (-0.1565667 51.5137699)
265,,POINT (-0.1533373 51.5178831)
266,,POINT (-0.1529675 51.5179302)
267,,POINT (-0.1586772 51.5135299)
268,,POINT (-0.15856 51.5135446)
269,POINT.a hotels,POINT (-0.0776413 51.5210552)
270,,POINT (-0.1432744 51.4940095)
271,,POINT (-0.1511421 51.516746)
272,,POINT (-0.0761771 51.5243809)
273,,POINT (-0.409001 51.478724)
274,,POINT (-0.4112067 51.479979)
275,Emerald Hotel,POINT (-0.2217212 51.5005664)
276,Pearl Hotel,POINT (-0.2217145 51.5006176)
277,,POINT (0.0243506 51.5072873)
278,,POINT (0.0098492 51.4925452)
279,The Hoxton,POINT (-0.1220985 51.5172111)
280,Premier Inn,POINT (-0.3011433 51.4097316)
281,,POINT (-0.2202117 51.4921078)
282,,POINT (-0.2196283 51.4920423)
283,,POINT (-0.490218 51.5422653)
284,Premier Inn,POINT (-0.4312842 51.5731098)
285,,POINT (-0.019455 51.6029268)
286,Mercure London Bloomsbury,POINT (-0.1233317 51.5209716)
287,"Thistle Holborn, The Kingsley",POINT (-0.1241566 51.5177738)
288,,POINT (-0.3154791 51.4795964)
289,Mornington Hotel,POINT (-0.1403652 51.490273)
290,,POINT (-0.0991495 51.5054186)
291,,POINT (-0.3155518 51.350518)
292,Morton Hotel,POINT (-0.1257912 51.5230303)
293,,POINT (-0.1276419 51.5180278)
294,,POINT (-0.1280452 51.5183987)
295,,POINT (-0.1279882 51.5183464)
296,,POINT (-0.1278567 51.5176807)
297,,POINT (-0.1280421 51.5177677)
298,,POINT (-0.1276082 51.5172384)
299,,POINT (-0.1290975 51.5173841)
300,,POINT (-0.1295182 51.517456)
301,,POINT (-0.1282245 51.5177322)
302,sussex hotel,POINT (-0.155832 51.5145269)
303,Chase Lodge Hotel,POINT (-0.3123367 51.413123)
304,Premier Inn,POINT (-0.1357821 51.5656761)
305,,POINT (-0.1412448 51.5191666)
306,Travelodge,POINT (-0.1529261 51.4428417)
307,Premier Inn Entrance Door,POINT (-0.2808432 51.5628081)
308,Gateway Hotel,POINT (-0.1480326 51.4509716)
309,MAX Serviced Apartments,POINT (-0.0380281 51.5128134)
310,,POINT (-0.0801175 51.4903367)
311,Wardonia Hotel,POINT (-0.1229957 51.5284767)
312,King's Cross,POINT (-0.1225588 51.5284745)
313,The Globe,POINT (-0.123562 51.5288049)
314,The Apollo,POINT (-0.1230202 51.5286881)
315,Princess,POINT (-0.1231516 51.5288283)
316,Crowne Plaza,POINT (-0.1787792 51.4692083)
317,Hotel Makedonia,POINT (-0.1182029 51.5457401)
318,,POINT (-0.0825801 51.5046878)
319,SO King's Cross,POINT (-0.1179668 51.5306396)
320,My Hotel,POINT (-0.4147387 51.448015)
321,,POINT (-0.1396375 51.5148744)
322,,POINT (-0.1398714 51.5148098)
323,,POINT (-0.1920062 51.4988391)
324,,POINT (-0.2768798 51.6079973)
325,Pasha,POINT (-0.0943965 51.4795106)
326,,POINT (-0.1249174 51.5299766)
327,Ivor Novello,POINT (-0.1189624 51.5124953)
328,,POINT (-0.0412799 51.5119981)
329,,POINT (-0.0405864 51.5122377)
330,Kings cross,POINT (-0.1175506 51.5312377)
331,King Paget Hotel,POINT (-0.4688639 51.5051411)
332,,POINT (-0.1023619 51.5202376)
333,Park Hotel,POINT (0.0650918 51.5676856)
334,Premier Inn,POINT (-0.0910823 51.5034171)
335,Premier Inn,POINT (0.1867056 51.5776642)
336,Hotel The Grand at Trafalgar Square,POINT (-0.1259733 51.5069341)
337,Club Quarters Hotel,POINT (-0.1258069 51.5068835)
338,,POINT (-0.1906734 51.4936272)
339,,POINT (-0.1910872 51.4939972)
340,Castle Hotel,POINT (-0.0988075 51.4926541)
341,Travelodge Wembley High Road,POINT (-0.2960817 51.5519842)
342,hub by Premier Inn Kings Cross,POINT (-0.121831 51.533703)
343,,POINT (0.0195354 51.5076106)
344,hotel air bnb,POINT (-0.2637876 51.5607274)
345,hub by Premier Inn London Westminster Abbey,POINT (-0.1314606 51.4995883)
346,,POINT (-0.1571766 51.4928529)
347,Premier Inn London County Hall,POINT (-0.1182526 51.5024782)
348,Eaton Town House,POINT (-0.1409773 51.4940168)
349,Corbigoe Hotel,POINT (-0.1364419 51.489739)
350,Best Western Corona Hotel,POINT (-0.1370186 51.4899979)
351,Melbourne House Hotel,POINT (-0.1372198 51.4900931)
352,Limegrove Hotel,POINT (-0.1436545 51.4912387)
353,Vegas Hotel,POINT (-0.1433105 51.4911088)
354,Enrico Hotel,POINT (-0.1427281 51.4915144)
355,Surtees Hotel,POINT (-0.1427969 51.4912532)
356,Golden Star Hotel,POINT (-0.1424201 51.4916052)
357,Tudor Inn Hotel,POINT (-0.1423529 51.4916317)
358,Blades Hotel,POINT (-0.1366874 51.4894859)
359,Holiday Inn Express,POINT (-0.1372077 51.4897096)
360,St. George's Pimlico,POINT (-0.1393338 51.48851)
361,Dolphin House Serviced Apartments,POINT (-0.1369041 51.4872103)
362,Lynton B&B Hotel,POINT (-0.1493034 51.4939243)
363,The Lord Milner,POINT (-0.1492439 51.4939709)
364,easyHotel Croydon Town Centre,POINT (-0.0903583 51.3749114)
365,,POINT (-0.1011003 51.5055759)
366,Bromley Court Hotel,POINT (0.0021527 51.4168577)
367,,POINT (0.0066867 51.5424071)
368,QMH,POINT (0.1849066 51.5759212)
369,Scimitar House,POINT (0.1856593 51.5761903)
370,Travelodge,POINT (0.1804964 51.5802635)
371,Ryder Street Chambers,POINT (-0.137828 51.507023)
372,Travelodge,POINT (-0.2318274 51.4098339)
373,,POINT (-0.1319799 51.5120917)
374,Premier Inn,POINT (-0.2482135 51.5850388)
375,,POINT (-0.1832832 51.4939056)
376,,POINT (-0.1829612 51.4933296)
377,Home,POINT (-0.1733916 51.4471511)
378,,POINT (-0.3301279 51.4497835)
379,,POINT (0.0157822 51.5440341)
380,,POINT (-0.0044576 51.5363633)
381,Somerset Maugham,POINT (-0.1483591 51.5071997)
382,Bert Ambrose,POINT (-0.1435394 51.5082407)
383,Mayfair's oldest house,POINT (-0.1490572 51.5058869)
384,The Bull and Bush Hotel Kingston,POINT (-0.289757 51.408213)
385,The Curtain,POINT (-0.0805236 51.5236705)
386,,POINT (-0.2853818 51.5557899)
387,Kirkdale Hotel,POINT (-0.0960696 51.3656245)
388,,POINT (-0.0069872 51.5426739)
389,,POINT (-0.330109 51.4497638)
390,Hotel Indigo London - 1 Leicester Square,POINT (-0.1309494 51.5108051)
391,"Holiday Inn London - Heathrow Bath Road, an IHG Hotel",POINT (-0.4613411 51.4815281)
392,Holiday Inn Express London Heathrow T4,POINT (-0.4435692 51.4591224)
393,Crowne Plaza London Heathrow T4,POINT (-0.4432661 51.4591141)
394,"Staybridge Suites London - Heathrow Bath Road, an IHG Hotel",POINT (-0.4617164 51.4815386)
395,,POINT (-0.1588171 51.5015281)
396,Forest in City Lodge,POINT (0.0272619 51.5525872)
397,,POINT (0.0423224 51.5083979)
398,,POINT (-0.1053863 51.5080743)
399,Quintin Hogg,POINT (-0.1441588 51.5166894)
400,Piccadilly Circus,POINT (-0.1350436 51.510266)
401,,POINT (-0.4591123 51.4813423)
402,Oxford House,POINT (-0.1260598 51.5253405)
403,Albany Hotel,POINT (-0.1259872 51.5253847)
404,Roma,POINT (-0.1263096 51.5252312)
405,St Athans Hotel,POINT (-0.1264761 51.5251125)
406,Staff and Goods Entrance,POINT (-0.1195153 51.5126549)
407,Stella Lady Reading,POINT (-0.132198 51.4996319)
408,,POINT (0.009073 51.5146057)
409,Westpoint Hotel,POINT (-0.1737639 51.5148979)
410,,POINT (-0.1593587 51.5152371)
411,,POINT (-0.1600422 51.5153325)
412,,POINT (-0.1602167 51.5153821)
413,,POINT (-0.1578919 51.5159824)
414,Premier Inn Wandsworth,POINT (-0.1924957 51.455094)
415,,POINT (-0.0435378 51.5106126)
416,Crawford Suites Serviced Apartments,POINT (-0.1665234 51.5179144)
417,Austin Rudd,POINT (-0.1687112 51.5191833)
418,Best Western Plus London Wembley,POINT (-0.2912121 51.5534724)
419,"The Standard, London",POINT (-0.1243303 51.5294697)
420,Maitrise Suites,POINT (-0.3222279 51.5106234)
421,The Standard London,POINT (-0.1218561 51.529301)
422,Maison de l  institut de France    Londres,POINT (-0.1811058 51.4989555)
423,,POINT (-0.1223519 51.5319409)
424,,POINT (0.005805 51.537519)
425,Stow-Away Apart-Hotel,POINT (-0.1140348 51.5002783)
426,The Montcalm Royal London House,POINT (-0.0857045 51.5215949)
427,The Stratford Hotel,POINT (-0.0078357 51.5453714)
428,,POINT (-0.4912063 51.4726814)
429,,POINT (-0.0070761 51.5069147)
430,,POINT (-0.4382457 51.4811147)
431,,POINT (-0.1744653 51.5157277)
432,Abbey Court Hotel,POINT (-0.1738726 51.5148516)
433,Aspen Apartments,POINT (-0.173987 51.5147957)
434,Ambassador Heathrow Hotel,POINT (-0.4068795 51.4473091)
435,,POINT (-0.1051336 51.5078744)
436,Number 63,POINT (-0.1765831 51.51165)
437,,POINT (-0.1258011 51.510486)
438,Sir William Sterndale Bennett,POINT (-0.185238 51.5120396)
439,,POINT (-0.01562 51.5735941)
440,,POINT (-0.015074 51.5736226)
441,The Warwick Hotel,POINT (-0.1428971 51.4912611)
442,,POINT (-0.2080243 51.4972802)
443,V. I. Lenin,POINT (-0.1147423 51.5292099)
444,,POINT (-0.2048436 51.3917054)
445,,POINT (-0.2099091 51.5170172)
446,,POINT (-0.148246 51.5146164)
447,,POINT (-0.1482987 51.5146104)
448,,POINT (-0.1483509 51.5146044)
449,Vicarage Private Hotel,POINT (-0.1924813 51.5051403)
450,,POINT (-0.1834593 51.4977485)
451,,POINT (-0.0992654 51.505447)
452,,POINT (-0.1913028 51.498799)
453,,POINT (-0.1963344 51.4926433)
454,Sir Norman Lockyer,POINT (-0.1933758 51.4911874)
455,,POINT (-0.0079869 51.5463413)
456,,POINT (-0.1640701 51.5220838)
457,,POINT (-0.1856685 51.4944564)
458,,POINT (-0.1848134 51.4939844)
459,,POINT (-0.1827224 51.4940249)
460,,POINT (0.0244985 51.5072852)
461,,POINT (0.025027 51.5072779)
462,,POINT (-0.4612379 51.5345706)
463,,POINT (-0.1600488 51.5159877)
464,the Fabian Society,POINT (-0.1431941 51.5253554)
465,,POINT (-0.1614596 51.5000794)
466,Emile Zola,POINT (-0.0833317 51.4150053)
467,Lillie Langtry,POINT (-0.1596696 51.4970383)
468,Hampton by Hilton London Park Royal,POINT (-0.2863162 51.527607)
469,"Norman Shaw, Frederick Goodall, W.S. Gilbert",POINT (-0.3521866 51.6232349)
470,Mondrian Apartments & Hotel,POINT (-0.1140809 51.5608584)
471,Christine Granville born Krystyna Skarbek,POINT (-0.190303 51.4950842)
472,Ellen Terry,POINT (-0.1910555 51.492357)
473,,POINT (-0.0420064 51.5112556)
474,,POINT (-0.1298011 51.5074504)
475,William Hazlitt,POINT (-0.1319221 51.5143711)
476,Charles Eamer Kempe,POINT (-0.1533193 51.5221435)
477,,POINT (-0.1756279 51.4930492)
478,,POINT (-0.1325588 51.5222634)
479,,POINT (-0.1323919 51.5221076)
480,,POINT (-0.1322812 51.5220043)
481,,POINT (-0.1323359 51.5220553)
482,,POINT (-0.1321696 51.5219001)
483,,POINT (-0.1322262 51.5219529)
484,,POINT (-0.1320937 51.5218293)
485,,POINT (-0.1321137 51.5218479)
486,,POINT (-0.1309793 51.5208112)
487,,POINT (-0.1309254 51.5207614)
488,,POINT (-0.1308167 51.5206609)
489,,POINT (-0.1307634 51.5206117)
490,,POINT (-0.130654 51.5205106)
491,,POINT (-0.1307081 51.5205606)
492,,POINT (-0.1305971 51.5204581)
493,Premier Inn,POINT (-0.2540213 51.4867345)
494,Travelodge,POINT (0.1810817 51.5786432)
495,,POINT (-0.1247844 51.530018)
496,,POINT (-0.1249112 51.5301839)
497,,POINT (-0.1252802 51.5298637)
498,,POINT (-0.1254293 51.5300183)
499,,POINT (-0.1403912 51.5061639)
500,,POINT (-0.1404665 51.5057397)
501,,POINT (-0.4918358 51.4741843)
502,,POINT (-0.4917856 51.4741843)
503,Boston Manor Hotel,POINT (-0.3331954 51.5037765)
504,,POINT (-0.1629948 51.5221199)
505,,POINT (-0.1626435 51.5214557)
506,Riverside Hotel,POINT (-0.4814215 51.5148185)
507,,POINT (-0.1654264 51.4634916)
508,,POINT (0.0055738 51.5372898)
509,,POINT (-0.0800953 51.527551)
510,Sky Nights Hotel,POINT (-0.4698204 51.5064564)
511,Travelodge,POINT (-0.0984099 51.4973413)
512,Premier Inn,POINT (0.1007575 51.376515)
513,,POINT (-0.0211158 51.5074689)
514,Adagio London Sutton Point,POINT (-0.1906562 51.360243)
515,ibis London Sutton Point,POINT (-0.190419 51.3602854)
516,Premier Inn,POINT (-0.1942052 51.3634424)
517,,POINT (-0.0005003 51.511298)
518,Phoenix Heights by Bridgestreet,POINT (-0.0218138 51.500038)
519,Premier Inn,POINT (0.009826 51.5128986)
520,Barking Park Hotel,POINT (0.0774273 51.5428071)
521,St George Hotel,POINT (-0.1200262 51.5682858)
522,,POINT (-0.1149092 51.529392)
523,,POINT (-0.1570814 51.6697602)
524,,POINT (-0.1156325 51.5293154)
525,,POINT (-0.1271517 51.5147597)
526,,POINT (-0.131814 51.5121601)
527,,POINT (-0.0414 51.5119307)
528,,POINT (-0.2155937 51.4935127)
529,Ibis Budget London Bromley Centre,POINT (0.0170011 51.4026428)
530,City Inn Russell Square,POINT (-0.1257574 51.5254947)
531,Hyatt Place London City East,POINT (-0.0681831 51.5169314)
532,.Kip,POINT (-0.0563545 51.5474517)
533,,POINT (-0.2296643 51.492623)
534,Travelodge Finchley,POINT (-0.194852 51.6009306)
535,,POINT (-0.1727093 51.5445343)
536,,POINT (-0.4575059 51.4815333)
537,,POINT (-0.4325942 51.4810688)
538,CityStay Hotel,POINT (-0.0211899 51.5277521)
539,hub by Premier Inn London Soho hotel,POINT (-0.1348963 51.5130669)
540,Travelodge,POINT (-0.108567 51.5949482)
